id,destination_id,facility_id,name,food_type,shop_name,description,heat_score,rating_score,avg_price,cover_url,lng,lat
,10,,禾家中餐厅,杨枝甘露,禾家中餐厅,"北京环球度假区 | 营业时间:周一至周日 05:30-10:00,11:30-14:30 | 电话:010-57326308",2.2,4.2,318,http://store.is.autonavi.com/showpic/54cb72a995c4cccfe439072cdc06f2ab,116.682226,39.850822
,10,,全聚德(北京环球城市大道店),烤鸭,全聚德(北京环球城市大道店),北京环球度假区 | 营业时间:周一至周日 09:00-21:30 | 电话:19910293778,9,4.5,143,https://store.is.autonavi.com/showpic/da2f06505a645da90000001013182876?type=pic,116.677233,39.851251
,10,,穿越·外婆家旗舰店,龙井手剥虾仁,穿越·外婆家旗舰店,北京环球度假区 | 营业时间:周一至周日 09:30-21:30 | 电话:16619041691,8.4,4.5,104,http://store.is.autonavi.com/query_pic?id=st59fb6d0a-48a0-477f-b3eb-f95cdffc5190&user=search&operate=original,116.677247,39.851609
,11,,锣鼓洞天烤鸭·爆肚粉小吃(南锣鼓巷店),卤煮,锣鼓洞天烤鸭·爆肚粉小吃(南锣鼓巷店),北京城区南锣鼓巷102号 | 营业时间:周一至周日 09:30-22:00 | 电话:13260077148,3.5,4.1,58,https://aos-comment.amap.com/B0K3GA3RCS/comment/IMG_20241022_130027_tem_1729573297544_83707914.jpg,116.403237,39.935349
,11,,方砖厂69号炸酱面(南锣鼓巷2店),椒盐小酥肉,方砖厂69号炸酱面(南锣鼓巷2店),北京城区南锣鼓巷117号 | 营业时间:周一至周日 09:00-21:30 | 电话:13051259673,6.2,4.7,37,https://aos-comment.amap.com/B0J21UFGSM/comment/0188C9F7_142C_4176_89BF_17465F8DF644_L0_001_2000_150_1765119514863_20707292.jpg,116.403087,39.935587
,11,,李记羊肉串,羊肉串,李记羊肉串,南锣鼓巷与雨儿胡同交叉口西北20米,0.1,2.9,0,,116.403075,39.935775
,11,,北平咖啡(南锣鼓巷店),覆盆子挞,北平咖啡(南锣鼓巷店),南锣鼓巷113-2号 | 营业时间:周一至周五 10:00-21:00；周六至周日 10:00-22:00 | 电话:010-84039198,2.5,4.5,69,https://aos-comment.amap.com/B000A96HC9/comment/content_media_external_file_1000064463_ss__1754858314422_46345757.jpg,116.403121,39.935771
,12,,大海碗·天桥卤煮饺子(天桥店),,大海碗·天桥卤煮饺子(天桥店),永定门内大街1号天桥百货商场一层东北侧 | 营业时间:周一至周日 09:00-21:00 | 电话:13071128916;13681208704,3,4.5,43,https://aos-comment.amap.com/B0J1FA4UPG/comment/8D264825_CA1D_495E_A993_7D2F6B2DF930_L0_001_1500_200_1768809609528_17024433.jpg,116.398246,39.880705
,12,,灯堂咖啡(天桥店),冰美式,灯堂咖啡(天桥店),新农街13号(天桥地铁站A西北口步行270米) | 营业时间:周一至周四 10:00-18:00；周五至周日 10:00-19:00 2026-02-15至2026-02-23 周一至周日 全天关闭；2026-02-27至2026-02-28 周一至周日 10:00-18:00 | 电话:18610932376,2.2,4.5,35,http://store.is.autonavi.com/showpic/ca125ccebd3832a44ca48d443fd79ab4,116.397044,39.882386
,12,,天桥艺术·咖啡与茶,咖啡厅,天桥艺术·咖啡与茶,天桥南里(天桥地铁站A西北口步行270米) | 营业时间:周一至周日 09:00-22:00 | 电话:15011033699,0.1,3.9,35,https://aos-comment.amap.com/B0LRCOHTMJ/comment/content_media_external_images_media_19537_ss__1754111003668_64083684.jpg,116.397041,39.882412
,12,,合乐多味食堂(天桥店),寿司,合乐多味食堂(天桥店),天桥南大街9号天桥艺术中心一楼105 | 营业时间:周一至周日 11:00-22:30 | 电话:18353509091,5.6,4.4,56,https://aos-comment.amap.com/comment/content_service__1772428440882_80719558_1772428486763_30664785.jpg,116.398245,39.882717
,12,,大海碗·炸酱面·烤鸭·京菜(天坛店),炸灌肠,大海碗·炸酱面·烤鸭·京菜(天坛店),永定门内大街1号天桥乐汇百货商场B1层 | 营业时间:周一至周日 10:30-21:30 | 电话:010-63132168,9.1,4.5,65,https://aos-comment.amap.com/B000A9JRO6/comment/EF26447E_4A8B_4CB8_8515_F5397174AFAE_L0_001_750_100_1761318930641_85644884.jpg,116.398086,39.880706
,12,,菘菘 音乐·餐饮·空间,音乐餐吧,菘菘 音乐·餐饮·空间,天桥南大街9号楼天桥艺术中心一层104室 | 营业时间:周一至周日 10:30-21:30 | 电话:13511080653,8.6,4.5,49,https://aos-comment.amap.com/comment/content_service__1772426717156_11031296_1772426786594_55260749.jpg,116.398075,39.882625
,13,,渔蓝海鲜火锅(首都宾馆店),双人餐,渔蓝海鲜火锅(首都宾馆店),首都宾馆A座一层大堂吧东北角 | 营业时间:周一至周日 16:30-21:30 | 电话:010-58159566,6.4,4.6,163,https://aos-comment.amap.com/B0JRZGS12N/comment/982239bae377647ec1abd48304e1a1e9_2048_2048_80.jpg,116.409635,39.902001
,13,,北京隆和居美食城(正义路店),干锅千页豆腐,北京隆和居美食城(正义路店),东华门街道正义路8号(原市政府斜对面) | 营业时间:周一至周日 10:00-22:30 | 电话:010-65263265;13520777900,8,4.4,73,https://store.is.autonavi.com/showpic/72fbdf46904d9ac20000002152518124?type=pic,116.406444,39.903414
,13,,松鹤楼(台基厂店),松鼠桂鱼,松鹤楼(台基厂店),"北京城区台基厂大街10号(东郊民巷小学旁) | 营业时间:周一至周日 11:00-14:00,17:00-21:00 2026-02-17至2026-02-23 周一至周日 11:00-14:00,16:30-21:00 | 电话:010-65278195;010-65279255",8.6,4.5,153,http://store.is.autonavi.com/query_pic?id=st4e59a81c-8dd5-4876-9cdf-1e3afe32ebe2&user=search&operate=original,116.411839,39.903469
,13,,君庭中餐厅(首都宾馆店),牛肉,君庭中餐厅(首都宾馆店),"前门东大街3号首都宾馆东北门门房 | 营业时间:周一至周日 11:00-14:00,17:00-21:00 | 电话:010-58159788",1.3,4.4,213,https://aos-comment.amap.com/comment/content_service__1771506306909_36408294_1771506354089_05149994.jpg,116.408956,39.902119
,13,,食鼎轩烤鸭·私房菜(北京王府井台基厂大街店),老北京炙子烤肉,食鼎轩烤鸭·私房菜(北京王府井台基厂大街店),"台基厂大街10-1号 | 营业时间:周一至周日 10:00-14:30,16:30-22:00 | 电话:010-63445868;18519118048",9,4.6,70,https://aos-comment.amap.com/B0KGRMA21S/comment/content_media_external_file_100003357_1767011828140_18373911.jpg,116.411861,39.903494
,13,,奥华餐厅老张记(台基厂店),虾仁独面筋,奥华餐厅老张记(台基厂店),北京城区台基厂大街18-3号 | 营业时间:周一至周日 10:30-21:30 | 电话:010-65129289;010-65244021,0.3,4.6,62,http://store.is.autonavi.com/showpic/a44d4745fdde65bc76e850f893a9937b,116.411937,39.902869
,14,,以沫咖啡,咖啡厅,以沫咖啡,奥体森林公园南门西侧以沫咖啡,6.6,4.1,29,http://store.is.autonavi.com/showpic/7aef534dd8e85e11c77d0f4afd4bdde8,116.391469,40.011902
,15,,山西面馆川湘菜,中餐厅,山西面馆川湘菜,众智家园西侧160米,3.7,3.6,0,https://store.is.autonavi.com/showpic/e2391c768339086ec9c1b11191b613bc,116.808858,40.337426
,19,,渔蓝海鲜火锅(首都宾馆店),双人餐,渔蓝海鲜火锅(首都宾馆店),首都宾馆A座一层大堂吧东北角 | 营业时间:周一至周日 16:30-21:30 | 电话:010-58159566,2.7,4.6,163,https://aos-comment.amap.com/B0JRZGS12N/comment/982239bae377647ec1abd48304e1a1e9_2048_2048_80.jpg,116.409635,39.902001
,19,,良苑烤鸭店(前门店),家常菜,良苑烤鸭店(前门店),前门东大街14号楼前 | 营业时间:周一至周日 11:00-21:00 | 电话:010-65122322,4.1,4.5,80,https://aos-comment.amap.com/B000A7C192/comment/5B6F0744_4E23_4727_BFA1_4FF00A1CB9F2_L0_001_2000_150_1760867253847_38700077.jpg,116.408677,39.900407
,19,,北京隆和居美食城(正义路店),干锅千页豆腐,北京隆和居美食城(正义路店),东华门街道正义路8号(原市政府斜对面) | 营业时间:周一至周日 10:00-22:30 | 电话:010-65263265;13520777900,4.6,4.4,73,https://store.is.autonavi.com/showpic/72fbdf46904d9ac20000002152518124?type=pic,116.406444,39.903414
,19,,松鹤楼(台基厂店),松鼠桂鱼,松鹤楼(台基厂店),"北京城区台基厂大街10号(东郊民巷小学旁) | 营业时间:周一至周日 11:00-14:00,17:00-21:00 2026-02-17至2026-02-23 周一至周日 11:00-14:00,16:30-21:00 | 电话:010-65278195;010-65279255",4,4.5,153,http://store.is.autonavi.com/query_pic?id=st4e59a81c-8dd5-4876-9cdf-1e3afe32ebe2&user=search&operate=original,116.411839,39.903469
,19,,君庭中餐厅(首都宾馆店),牛肉,君庭中餐厅(首都宾馆店),"前门东大街3号首都宾馆东北门门房 | 营业时间:周一至周日 11:00-14:00,17:00-21:00 | 电话:010-58159788",7.7,4.4,213,https://aos-comment.amap.com/comment/content_service__1771506306909_36408294_1771506354089_05149994.jpg,116.408956,39.902119
,19,,食鼎轩烤鸭·私房菜(北京王府井台基厂大街店),老北京炙子烤肉,食鼎轩烤鸭·私房菜(北京王府井台基厂大街店),"台基厂大街10-1号 | 营业时间:周一至周日 10:00-14:30,16:30-22:00 | 电话:010-63445868;18519118048",2,4.6,70,https://aos-comment.amap.com/B0KGRMA21S/comment/content_media_external_file_100003357_1767011828140_18373911.jpg,116.411861,39.903494
,19,,奥华餐厅老张记(台基厂店),虾仁独面筋,奥华餐厅老张记(台基厂店),北京城区台基厂大街18-3号 | 营业时间:周一至周日 10:30-21:30 | 电话:010-65129289;010-65244021,9.6,4.6,62,http://store.is.autonavi.com/showpic/a44d4745fdde65bc76e850f893a9937b,116.411937,39.902869
,19,,壹条龙涮肉(台基厂店),鲜牛肉,壹条龙涮肉(台基厂店),前门东大街2号 | 营业时间:周一至周日 10:30-22:00 | 电话:010-67767778;18515266670,0.8,4.7,68,https://aos-comment.amap.com/B000A7NF1Q/comment/55B841D2_61E1_4F84_B0E1_A041AC336980_L0_001_1280_170_1767838067206_33082041.jpg,116.41096,39.900433
,19,,本纯食社原生态主题餐厅(首都大酒店写字楼店),鸡汤,本纯食社原生态主题餐厅(首都大酒店写字楼店),"东交民巷20号首都大酒店写字楼F1层 | 营业时间:周一至周日 10:00-14:00,17:00-21:00 | 电话:010-57267358;010-58159288",9.4,3.9,202,http://store.is.autonavi.com/showpic/905479cea38e45586832d9ba73202990,116.409108,39.902053
,20,,渔蓝海鲜火锅(首都宾馆店),双人餐,渔蓝海鲜火锅(首都宾馆店),首都宾馆A座一层大堂吧东北角 | 营业时间:周一至周日 16:30-21:30 | 电话:010-58159566,3.7,4.6,163,https://aos-comment.amap.com/B0JRZGS12N/comment/982239bae377647ec1abd48304e1a1e9_2048_2048_80.jpg,116.409635,39.902001
